2022-10-14 11:28:16,572 ERROR c.i.v.UserView [main] 
>>>>> Wrong Email Format, Give the proper Email! <<<<<

2022-10-14 12:00:39,304 ERROR c.i.v.LeadView [main] 
>>>>> Wrong Id Format, Give the proper Id! <<<<<

2022-10-14 14:55:26,339 ERROR c.i.v.UserView [main] 
>>>>> Wrong Email Format, Give the proper Email! <<<<<

2022-10-14 15:18:35,947 ERROR c.i.v.UserView [main] 
>>>>> Wrong Phone Number Format, Give the proper Phone Number! <<<<<

2022-10-14 15:22:04,358 ERROR c.i.v.LeadView [main] Input Mismatch Exception
2022-10-14 15:22:04,372 ERROR c.i.v.LeadView [main] Input Mismatch Exception
2022-10-14 15:22:13,178 ERROR c.i.v.CRMView [main] 
>>>>> Wrong Id Format, Give the proper Id! <<<<<

